sensor_ts,system_ts
4381922207,1754204290553277.2
4381955532,1754204290587594.8
4381988846,1754204290620057.0
4382022166,1754204290653225.0
4382055485,1754204290686497.8
4382088802,1754204290720841.8
4382122120,1754204290754157.8
4382155438,1754204290786504.0
4382188761,1754204290819756.8
4382222077,1754204290852964.0
4382255393,1754204290886341.2
4382288712,1754204290919636.8
4382322033,1754204290952996.0
4382355351,1754204290986284.2
4382388667,1754204291020644.5
4382421984,1754204291052880.2
4382455303,1754204291086190.0
4382488621,1754204291119497.0
4382521940,1754204291152825.0
4382555257,1754204291186145.0
4382588576,1754204291219462.8
4382621895,1754204291252793.0
4382655212,1754204291286099.8
4382688531,1754204291319332.8
4382721849,1754204291352680.2
4382755167,1754204291385928.8
4382788486,1754204291420326.0
4382821805,1754204291452670.0
4382855123,1754204291485920.0
4382888442,1754204291519256.0
4382921760,1754204291553587.8
4382955078,1754204291585962.0
4382988396,1754204291619298.2
4383021713,1754204291653594.2
4383055033,1754204291685925.0
4383088352,1754204291719211.0
4383121669,1754204291753545.8
4383154988,1754204291785866.0
4383188306,1754204291820271.2
4383221625,1754204291853487.2
4383254944,1754204291885814.5
4383288261,1754204291920133.0
4383321579,1754204291952464.5
4383354898,1754204291985787.0
4383388216,1754204292020094.8
4383421535,1754204292052395.0
4383454853,1754204292085714.0
4383488171,1754204292119039.0
4383521490,1754204292153364.5
4383554807,1754204292185666.2
4383588126,1754204292219091.0
4383621445,1754204292252342.0
4383654763,1754204292286655.8
4383688080,1754204292318961.8
4383721399,1754204292352270.5
4383754723,1754204292385520.5
4383788040,1754204292418861.5
4383821353,1754204292452198.0
4383854675,1754204292485415.2
4383887991,1754204292518817.0
4383921310,1754204292552051.8
4383954630,1754204292585399.5
4383987947,1754204292618894.0
4384021266,1754204292653115.8
4384054583,1754204292685411.0
4384087902,1754204292718726.0
4384121220,1754204292752114.5
4384154541,1754204292785404.0
4384187857,1754204292818691.8
4384221177,1754204292851982.8
4384254494,1754204292885368.2
4384287812,1754204292918635.2
