sensor_ts_us,system_ts_us
246543390,1754259078090248.8
246576707,1754259078131006.8
246610024,1754259078158454.5
246643339,1754259078186120.5
246676692,1754259078220860.5
246709981,1754259078242697.2
246743325,1754259078275179.5
246776642,1754259078314457.0
246809938,1754259078378508.2
246843285,1754259078395532.0
246876569,1754259078441666.0
246909896,1754259078462925.2
246943237,1754259078515260.5
246976553,1754259078567542.0
247009877,1754259078578349.2
247043166,1754259078601400.5
247076509,1754259078654976.2
247109802,1754259078679970.2
247143152,1754259078695181.0
247176430,1754259078743381.5
247209787,1754259078782882.2
247243110,1754259078818951.8
247276412,1754259078858288.5
247309711,1754259078879954.5
247343058,1754259078889828.5
247376345,1754259078932167.8
247409697,1754259078974111.8
247442986,1754259078993423.8
247476297,1754259079017209.5
247509640,1754259079072979.2
247542967,1754259079097280.8
247576278,1754259079125198.0
247609595,1754259079144750.0
247642917,1754259079189111.8
247676238,1754259079216718.2
247709558,1754259079267026.8
247742836,1754259079284695.2
247776159,1754259079348472.5
247809517,1754259079361618.8
247842802,1754259079405185.5
247876144,1754259079433661.2
247909427,1754259079457221.2
247942752,1754259079482745.2
247976093,1754259079517853.8
248009389,1754259079540055.2
248042701,1754259079584202.8
248076095,1754259079606777.2
248109360,1754259079659676.0
248142679,1754259079675222.8
248175972,1754259079710062.5
248209291,1754259079741202.0
248242609,1754259079774553.8
248275951,1754259079807783.5
248309268,1754259079849464.5
248342591,1754259079877299.2
248375905,1754259079909771.8
248409199,1754259079953001.0
248442528,1754259079973178.2
248475860,1754259080008502.2
248509154,1754259080039832.8
248542503,1754259080075453.8
248575832,1754259080147416.0
248609133,1754259080196882.5
248642458,1754259080228193.0
248675769,1754259080240165.5
248709069,1754259080253011.0
248742385,1754259080275813.2
248775699,1754259080307457.5
248809043,1754259080346316.2
248842369,1754259080375096.0
248875684,1754259080424492.0
248908993,1754259080446073.2
248942293,1754259080516820.2
248975657,1754259080536824.2
249008953,1754259080556567.8
249042250,1754259080604172.8
249075595,1754259080624973.0
249108904,1754259080639680.0
249142233,1754259080700263.2
249175554,1754259080713609.2
249208835,1754259080744142.8
249242192,1754259080772697.5
249275505,1754259080853224.0
249308818,1754259080865829.2
249342146,1754259080886023.5
249375466,1754259080910943.8
249408773,1754259080946325.5
249442062,1754259080981522.8
249475407,1754259081009853.0
249508717,1754259081045215.8
249542017,1754259081073745.5
249575334,1754259081120183.8
249608652,1754259081145410.5
249641971,1754259081216182.0
249675297,1754259081264267.5
249708650,1754259081280748.8
249741925,1754259081291476.2
249775243,1754259081319392.8
249808594,1754259081353369.8
249841880,1754259081381772.2
249875233,1754259081416291.0
249908516,1754259081449907.5
249941890,1754259081485872.2
249975188,1754259081517873.0
250008518,1754259081552904.8
250041832,1754259081615714.5
250075126,1754259081648820.5
250108426,1754259081676329.2
250141753,1754259081690120.5
250175059,1754259081744769.8
250208384,1754259081760682.8
250241715,1754259081788564.8
250275046,1754259081824835.8
250308354,1754259081885560.2
250341655,1754259081896665.2
250374997,1754259081917901.0
250408297,1754259081943249.0
250441605,1754259081976625.0
250474930,1754259082052937.0
250508256,1754259082066965.5
250541598,1754259082096703.0
250574877,1754259082131671.0
250608200,1754259082152390.5
250641520,1754259082228912.8
250674834,1754259082267230.0
250708172,1754259082304206.2
250741501,1754259082335766.0
250774785,1754259082357389.0
250808127,1754259082372707.2
250841464,1754259082401933.0
250874740,1754259082430652.2
250908113,1754259082453482.2
250941409,1754259082479560.5
250974695,1754259082512444.0
251008114,1754259082572239.2
251041361,1754259082596755.0
251074684,1754259082624154.8
251107991,1754259082652266.8
251141305,1754259082683381.0
251174625,1754259082706356.5
251207928,1754259082744600.2
251241272,1754259082813050.2
251274596,1754259082840740.2
251307885,1754259082871209.2
251341199,1754259082908480.0
251374540,1754259082932766.2
251407873,1754259082949176.2
251441193,1754259082992615.5
251474474,1754259083009875.0
251507825,1754259083048501.2
251541149,1754259083080397.8
251574420,1754259083107790.0
251607767,1754259083156534.5
251641070,1754259083203588.0
251674400,1754259083232603.0
251707691,1754259083248854.8
251741035,1754259083276624.0
251774328,1754259083332223.2
251807672,1754259083340375.8
251840994,1754259083371735.2
251874304,1754259083406521.0
251907625,1754259083438572.8
251940917,1754259083491479.5
251974241,1754259083511319.5
252007555,1754259083556763.2
252040897,1754259083577744.2
252074197,1754259083621072.2
252107531,1754259083638425.2
252140858,1754259083685211.8
252174144,1754259083716602.0
252207487,1754259083738244.0
252240821,1754259083777793.0
252274124,1754259083808853.5
252307448,1754259083850381.2
252340736,1754259083885161.8
252374053,1754259083911299.0
252407373,1754259083942889.2
252440714,1754259083974126.2
252474034,1754259084009691.8
252507327,1754259084038910.5
252540672,1754259084090228.0
252573978,1754259084106994.2
252607280,1754259084142821.5
252640632,1754259084172594.5
252673943,1754259084213310.2
252707270,1754259084237984.8
252740553,1754259084271489.0
252773879,1754259084349011.0
252807194,1754259084382544.0
252840546,1754259084417255.0
252873853,1754259084441655.2
252907164,1754259084462429.5
252940496,1754259084480537.5
252973781,1754259084520007.8
253007124,1754259084548658.8
253040457,1754259084597311.2
253073759,1754259084616725.8
253107055,1754259084664792.8
253140371,1754259084681199.8
253173691,1754259084705635.8
253207005,1754259084742183.5
253240349,1754259084772959.0
253273642,1754259084809623.0
253306985,1754259084848316.8
253340283,1754259084884004.5
253373626,1754259084916833.8
253406949,1754259084948201.2
253440260,1754259084987252.2
253473567,1754259085003874.0
253506908,1754259085080877.5
253540218,1754259085087346.8
253573506,1754259085115645.2
253606824,1754259085149283.2
253640153,1754259085177524.2
253673490,1754259085206354.2
253706811,1754259085255739.8
253740116,1754259085284595.0
253773453,1754259085316796.0
253806768,1754259085342344.2
253840068,1754259085378518.2
253873399,1754259085413446.0
253906686,1754259085445830.2
253940038,1754259085488359.5
253973355,1754259085517501.0
254006669,1754259085537328.8
254039959,1754259085588254.2
254073276,1754259085616664.8
254106626,1754259085644248.5
254139946,1754259085713995.5
254173260,1754259085767053.8
254206582,1754259085824776.2
254239871,1754259085858891.5
254273218,1754259085884994.2
254306527,1754259085899531.8
254339832,1754259085926166.2
254373174,1754259085953700.5
254406462,1754259085967355.5
254439807,1754259086009072.0
254473100,1754259086029958.8
254506457,1754259086061625.8
254539732,1754259086088622.8
254573048,1754259086116618.8
254606416,1754259086154158.0
254639722,1754259086177586.0
254673026,1754259086208340.5
254706319,1754259086241869.2
254739677,1754259086328874.5
254772991,1754259086341146.8
254806306,1754259086364179.8
254839618,1754259086380001.5
254872953,1754259086468772.0
254906262,1754259086485082.2
254939573,1754259086500875.2
254972894,1754259086513013.0
255006209,1754259086574603.0
255039539,1754259086587696.5
255072834,1754259086608708.0
255106175,1754259086639667.5
255139487,1754259086677307.5
255172809,1754259086754250.8
255206120,1754259086764659.2
255239413,1754259086788528.8
255272727,1754259086806237.8
255306046,1754259086848646.5
255339372,1754259086870160.8
255372684,1754259086910644.0
255406037,1754259086937265.2
255439346,1754259086981319.5
255472636,1754259087003103.0
255505983,1754259087037746.2
255539306,1754259087085127.0
255572590,1754259087117480.2
255605908,1754259087156243.0
255639243,1754259087169912.0
255672574,1754259087209486.2
255705863,1754259087265444.5
255739207,1754259087279907.5
255772499,1754259087338751.8
255805856,1754259087354476.0
255839135,1754259087392160.0
255872467,1754259087409830.5
255905809,1754259087438634.2
255939089,1754259087502071.5
255972424,1754259087515548.8
256005766,1754259087540222.0
256039084,1754259087585318.0
256072390,1754259087605857.8
256105703,1754259087641847.2
256138998,1754259087670744.8
256172345,1754259087713405.2
256205635,1754259087736992.8
256238952,1754259087789304.8
256272278,1754259087813421.0
256305592,1754259087840637.8
256338906,1754259087874437.8
256372223,1754259087908240.8
256405579,1754259087936479.0
256438863,1754259087976526.8
256472198,1754259088003716.5
256505527,1754259088044485.2
256538848,1754259088072218.2
256572150,1754259088102718.0
256605452,1754259088141999.8
256638769,1754259088174393.5
256672118,1754259088203771.5
256705427,1754259088237051.8
256738726,1754259088271026.2
256772041,1754259088305992.0
256805393,1754259088341679.8
256838680,1754259088370285.5
256872030,1754259088417516.5
256905352,1754259088440770.0
256938635,1754259088478433.2
256971977,1754259088504521.2
257005307,1754259088542817.0
257038587,1754259088583699.5
257071905,1754259088603088.8
257105258,1754259088650062.0
257138540,1754259088684159.0
257171886,1754259088716710.8
257205212,1754259088753743.0
257238514,1754259088774744.0
257271849,1754259088818147.2
257305161,1754259088898896.8
257338479,1754259088934110.8
257371771,1754259088953007.5
257405089,1754259088970426.8
257438438,1754259089004649.2
257471762,1754259089021216.8
257505078,1754259089064842.8
257538358,1754259089100146.8
257571712,1754259089130124.2
257605022,1754259089153493.2
257638312,1754259089180562.2
257671632,1754259089214532.2
257704972,1754259089246863.8
257738266,1754259089284205.0
257771585,1754259089305570.8
257804902,1754259089354558.5
257838242,1754259089375474.0
257871539,1754259089409916.2
257904874,1754259089444513.0
257938199,1754259089476336.8
257971522,1754259089509471.5
258004834,1754259089541679.2
258038155,1754259089572423.2
258071473,1754259089609685.8
258104789,1754259089638240.0
258138084,1754259089668606.8
258171425,1754259089707041.2
258204742,1754259089744158.0
258238038,1754259089773360.8
258271355,1754259089806452.0
258304675,1754259089856576.0
258337993,1754259089875691.0
258371347,1754259089912171.2
258404630,1754259089941615.8
258437948,1754259089970905.8
258471270,1754259090017624.0
258504620,1754259090042739.5
258537900,1754259090082241.5
258571251,1754259090117633.8
258604578,1754259090143222.5
258637884,1754259090197274.2
258671208,1754259090219020.8
258704523,1754259090257125.5
258737817,1754259090280169.2
258771155,1754259090344253.2
258804464,1754259090358654.5
258837783,1754259090375214.2
258871078,1754259090408681.0
258904394,1754259090440162.8
258937741,1754259090472453.0
258971030,1754259090505694.5
259004379,1754259090545431.5
259037666,1754259090585208.2
259071010,1754259090640188.5
259104341,1754259090648535.2
259137641,1754259090681714.0
259170937,1754259090708468.8
259204280,1754259090745478.0
259237571,1754259090768082.2
259270888,1754259090806808.2
259304234,1754259090855991.2
259337527,1754259090873349.8
259370876,1754259090913045.8
259404160,1754259090948640.8
259437500,1754259090977805.8
259470797,1754259091009026.0
259504127,1754259091050624.0
259537430,1754259091080198.8
259570784,1754259091124832.2
259604078,1754259091140693.2
259637422,1754259091168228.5
259670702,1754259091212280.5
259704043,1754259091237949.8
259737365,1754259091277477.0
259770654,1754259091314630.8
259804009,1754259091349998.0
259837292,1754259091380456.0
259870616,1754259091405484.0
259903982,1754259091472943.8
259937273,1754259091499628.5
259970563,1754259091545752.2
260003889,1754259091565023.8
260037233,1754259091582693.5
260070515,1754259091616335.0
260103865,1754259091638255.0
260137151,1754259091691672.2
260170486,1754259091713398.8
260203822,1754259091741625.2
260237103,1754259091767842.5
260270448,1754259091803342.5
260303737,1754259091852994.2
260337065,1754259091877773.5
260370412,1754259091917880.8
260403708,1754259091946257.0
260437010,1754259091973767.5
260470326,1754259092016842.8
260503669,1754259092045700.2
260536962,1754259092078202.8
260570303,1754259092105716.2
260603598,1754259092137935.0
260636915,1754259092177506.0
260670255,1754259092204740.0
260703587,1754259092235090.0
260736897,1754259092268461.0
260770188,1754259092316641.8
260803507,1754259092338051.2
260836849,1754259092373705.8
260870139,1754259092448500.2
260903495,1754259092480516.8
260936797,1754259092493382.8
260970134,1754259092533427.0
261003412,1754259092550375.8
261036761,1754259092588650.8
261070081,1754259092620926.8
261103363,1754259092648682.2
261136702,1754259092674153.5
261170033,1754259092712005.0
261203326,1754259092770115.2
261236636,1754259092787316.5
261269976,1754259092831405.8
261303270,1754259092870070.5
261336594,1754259092886051.8
261369950,1754259092916380.5
261403257,1754259092942448.5
261436542,1754259092986325.5
261469864,1754259093019638.8
261503179,1754259093044704.5
261536530,1754259093125217.2
261569860,1754259093149891.2
261603129,1754259093177543.8
261636448,1754259093211711.2
261669799,1754259093236755.0
261703086,1754259093266436.8
261736430,1754259093295257.0
261769757,1754259093317007.8
261803074,1754259093346769.5
261836381,1754259093389695.8
261869674,1754259093418253.0
261903000,1754259093439349.2
261936349,1754259093480501.2
261969649,1754259093510216.0
262002940,1754259093540285.5
262036261,1754259093567973.2
262069608,1754259093621124.2
262102897,1754259093640615.0
262136213,1754259093669910.2
262169530,1754259093702483.8
262202869,1754259093741296.2
262236174,1754259093777475.8
262269512,1754259093812682.5
262302823,1754259093841579.2
262336134,1754259093869499.0
262369465,1754259093899941.2
262402776,1754259093937296.8
262436075,1754259093977211.2
262469408,1754259093999837.5
262502708,1754259094033288.5
262536046,1754259094066389.0
262569343,1754259094099671.2
262602660,1754259094142012.2
262636004,1754259094166704.8
262669295,1754259094210893.2
262702613,1754259094241960.2
262735932,1754259094266635.5
262769278,1754259094299621.8
262802566,1754259094346004.8
262835884,1754259094375950.8
262869228,1754259094404399.0
262902520,1754259094433072.5
262935862,1754259094467056.2
262969157,1754259094501788.2
263002492,1754259094537171.5
263035815,1754259094566460.5
263069131,1754259094601850.2
263102451,1754259094632991.5
263135743,1754259094666360.5
263169095,1754259094699401.5
263202404,1754259094737497.8
263235732,1754259094772471.8
263269014,1754259094801711.5
263302334,1754259094834332.8
263335650,1754259094866072.8
263368993,1754259094934065.2
263402319,1754259094948883.5
263435603,1754259094996189.0
263468954,1754259095017440.0
263502277,1754259095034654.5
263535595,1754259095066716.8
263568895,1754259095099430.8
263602217,1754259095133882.8
263635541,1754259095166006.8
263668828,1754259095205553.8
263702149,1754259095239413.0
263735495,1754259095268907.8
263768787,1754259095336943.2
263802108,1754259095372194.2
263835446,1754259095382149.2
263868764,1754259095404156.2
263902075,1754259095433773.8
263935402,1754259095476349.5
263968687,1754259095506522.8
264002042,1754259095537999.8
264035376,1754259095568090.8
264068640,1754259095609851.8
264101960,1754259095634509.5
264135285,1754259095665988.2
264168625,1754259095699203.5
264201921,1754259095737709.0
264235230,1754259095766193.5
264268585,1754259095801537.8
264301906,1754259095839759.2
264335192,1754259095870147.0
264368503,1754259095909395.5
264401855,1754259095948217.8
264435151,1754259095981362.2
264468481,1754259096004544.8
264501811,1754259096040891.8
264535144,1754259096073868.8
264568406,1754259096104542.5
264601724,1754259096145159.5
264635042,1754259096169809.8
264668359,1754259096203742.8
264701716,1754259096235543.8
264735024,1754259096266598.2
264768313,1754259096350035.5
264801698,1754259096375030.0
264834948,1754259096400620.8
264868288,1754259096419701.2
264901584,1754259096449624.0
264934932,1754259096515679.0
264968253,1754259096538040.0
265001566,1754259096549348.8
265034859,1754259096573219.8
265068201,1754259096613750.2
265101529,1754259096663624.5
265134841,1754259096680912.5
265168152,1754259096721962.5
265201474,1754259096741599.2
265234800,1754259096776606.2
265268089,1754259096801276.0
265301427,1754259096844556.8
265334715,1754259096884468.5
265368067,1754259096916941.2
265401351,1754259096956735.0
265434666,1754259096980598.2
265467985,1754259097005696.2
265501302,1754259097034469.8
265534621,1754259097069640.5
265567989,1754259097098912.5
265601258,1754259097146793.0
265634620,1754259097170466.0
265667899,1754259097248936.8
265701214,1754259097295151.8
265734555,1754259097356883.5
265767854,1754259097391268.2
265801169,1754259097420564.2
265834492,1754259097437334.0
265867808,1754259097486667.2
265901120,1754259097522611.5
265967760,1754259097579705.8
266001088,1754259097637582.0
266034422,1754259097669431.2
266067708,1754259097700907.5
266101055,1754259097725634.5
266134375,1754259097754694.8
266167670,1754259097781859.8
266200974,1754259097805150.0
266267609,1754259097826256.8
266300927,1754259097855004.2
266334271,1754259097879152.5
266367564,1754259097913445.8
266400881,1754259097936490.2
266434198,1754259097965752.8
266467544,1754259098008692.0
266500835,1754259098034646.5
266534186,1754259098067435.0
266567469,1754259098109605.2
266600786,1754259098138050.0
266634105,1754259098173486.2
266667452,1754259098205521.0
266700772,1754259098237178.8
266734089,1754259098268263.5
266767408,1754259098298104.8
266800717,1754259098331606.0
266834057,1754259098369717.0
266867365,1754259098397985.2
266900647,1754259098433678.2
266934000,1754259098465344.8
266967334,1754259098532331.0
267000626,1754259098545891.5
267033949,1754259098572191.0
267067237,1754259098631457.5
267100582,1754259098652471.5
267133872,1754259098681873.2
267167190,1754259098712320.5
267200524,1754259098744336.8
267233824,1754259098790502.5
267267143,1754259098812817.2
267300482,1754259098851479.0
267333799,1754259098869042.8
267367096,1754259098909558.8
267400433,1754259098937737.0
267433756,1754259098969452.5
267467070,1754259098998747.0
267500392,1754259099030738.8
267533684,1754259099064116.0
267567037,1754259099104710.2
267600319,1754259099164195.0
267633660,1754259099172656.2
267666965,1754259099208428.2
267700273,1754259099247197.2
267733621,1754259099266182.2
267766926,1754259099301749.2
267800227,1754259099331084.0
267833544,1754259099376466.5
267866892,1754259099410739.0
267900179,1754259099431179.8
267933530,1754259099476763.2
267966854,1754259099497662.5
268000145,1754259099561905.8
268033483,1754259099612021.8
268066779,1754259099637256.5
268100112,1754259099653088.0
268133426,1754259099680795.0
268166736,1754259099715030.2
268200080,1754259099738438.5
268233363,1754259099772224.2
268266709,1754259099815386.5
268300023,1754259099878688.0
268333319,1754259099896233.2
268366658,1754259099919455.0
268399952,1754259099953625.2
268433264,1754259099986641.0
268466594,1754259100055427.8
268499906,1754259100077493.5
268533223,1754259100104361.2
268566557,1754259100128501.0
268599903,1754259100157661.5
268633175,1754259100174301.0
268666522,1754259100205815.8
268699805,1754259100231888.5
268733146,1754259100263829.2
268766439,1754259100308701.8
268799767,1754259100344839.5
268833113,1754259100376702.2
268866402,1754259100405465.2
268899711,1754259100430093.0
268933029,1754259100469376.5
268966356,1754259100502165.0
268999664,1754259100530684.8
269033013,1754259100573115.8
269066299,1754259100604351.0
269099617,1754259100637670.0
269132966,1754259100663448.2
269166255,1754259100698566.0
269199608,1754259100746659.0
269232912,1754259100769549.2
269266219,1754259100831255.2
269299560,1754259100849588.2
269332871,1754259100880733.2
269366160,1754259100915064.8
269399511,1754259100948380.0
269432830,1754259100979416.5
269466112,1754259101007514.0
269499465,1754259101051285.8
269532752,1754259101066247.8
269566066,1754259101111309.8
269599422,1754259101131007.8
269632713,1754259101188884.5
269666027,1754259101206492.8
269699346,1754259101234871.8
269732690,1754259101282900.8
269766002,1754259101320817.2
269799321,1754259101352420.2
269832610,1754259101377515.0
269865926,1754259101405165.0
269899274,1754259101441588.8
269932561,1754259101470832.5
269965910,1754259101502687.5
269999197,1754259101537577.8
270032529,1754259101576234.5
270065879,1754259101596439.0
270099177,1754259101638565.2
270132468,1754259101665710.8
270165819,1754259101698760.2
270199146,1754259101730322.8
270232429,1754259101777937.5
270265764,1754259101796698.2
270299088,1754259101849125.2
270332407,1754259101869659.0
270365733,1754259101899318.5
270399018,1754259101949649.0
270432360,1754259101982768.0
270465677,1754259102012988.5
270498995,1754259102038940.8
270532310,1754259102072843.8
270565598,1754259102109100.2
270598916,1754259102138016.2
270632266,1754259102165641.5
270665593,1754259102211148.2
270698905,1754259102229334.0
270732187,1754259102272199.0
270765532,1754259102309221.2
270798823,1754259102329495.2
270832162,1754259102373040.5
270865458,1754259102406323.2
270898813,1754259102429540.0
270932127,1754259102462784.8
270965437,1754259102499248.0
270998760,1754259102530126.2
271032055,1754259102565655.0
271065402,1754259102624667.2
271098708,1754259102645089.8
271132034,1754259102666991.0
271165319,1754259102701774.2
271198668,1754259102733570.5
271231974,1754259102769453.0
271265299,1754259102795788.0
271298618,1754259102849232.0
271331915,1754259102880669.0
271365224,1754259102917564.0
271398543,1754259102945475.2
271431882,1754259102964341.2
271465205,1754259103002094.2
271498519,1754259103043842.8
271531838,1754259103066971.0
271565169,1754259103098127.2
271598477,1754259103138027.5
271631794,1754259103170200.0
271665112,1754259103195636.0
